Scale	Dataset	Language	0	1	2	3	4	5	6	7
hot-coldXX.rankings	wilkinson	ES	tibio	frío	helado					
XXbeautiful-ugly.rankings	wilkinson	EN	pretty	beautiful	gorgeous					
XXbeautiful-ugly.rankings	wilkinson	FR	joli || mignon	beau	magnifique					
XXbeautiful-ugly.rankings	wilkinson	EL	χαριτωμένος	όμορφος	υπέροχος					
XXbeautiful-ugly.rankings	wilkinson	ES	bonito	bello	precioso					
slow-fastXX.rankings	wilkinson	EN	quick	fast	speedy					
slow-fastXX.rankings	wilkinson	FR	agile	rapide	prompt					
slow-fastXX.rankings	wilkinson	EL	γρήγορος	ταχύς	σβέλτος					
slow-fastXX.rankings	wilkinson	ES	rápido	veloz						
good-badXX.rankings	wilkinson	EN	bad	awful	terrible	horrible				
good-badXX.rankings	wilkinson	FR	mauvais	affreux	terrible	horrible				
good-badXX.rankings	wilkinson	EL	κακός	απαίσιος	τρομερός	φρικτός				
good-badXX.rankings	wilkinson	ES	malo	terrible	horrible	horroroso				
XXdry-wet.rankings	wilkinson	EN	dry	arid	parched					
XXdry-wet.rankings	wilkinson	FR	sec	aride	asséché || desséché					
XXdry-wet.rankings	wilkinson	EL	ξερός || ξηρός || στεγνός	άνυδρος	κατάξερος					
XXdry-wet.rankings	wilkinson	ES	seco	reseco	árido					
XXdifficult-easy.rankings	wilkinson	EN	hard	difficult						
XXdifficult-easy.rankings	wilkinson	FR	dur	difficile						
XXdifficult-easy.rankings	wilkinson	EL	σκληρός	δύσκολος						
XXdifficult-easy.rankings	wilkinson	ES	duro	difícil						
dry-wetXX.rankings	wilkinson	EN	damp	moist	wet					
dry-wetXX.rankings	wilkinson	FR	moite	mouillé	humide					
dry-wetXX.rankings	wilkinson	EL	νοτισμένος	υγρός	βρεγμένος					
dry-wetXX.rankings	wilkinson	ES	húmedo	mojado	empapado					
XXfat-lean.rankings	demelo	EN	overweight	chubby	fat	obese				
XXfat-lean.rankings	demelo	FR	en surpoids	rondelet	gros	obèse				
XXfat-lean.rankings	demelo	EL	υπέρβαρος	παχουλός	χονδρός	παχύσαρκος				
XXfat-lean.rankings	demelo	ES	con sobrepeso	regordete	gordo	obeso				
XXclean-dirty.rankings	demelo	EN	clean	spotless || immaculate						
XXclean-dirty.rankings	demelo	FR	propre	impeccable || immaculé						
XXclean-dirty.rankings	demelo	EL	καθαρός	πεντακάθαρος 						
XXclean-dirty.rankings	demelo	ES	limpio	impoluto	inmaculado					
XXbig-little.rankings	demelo	EN	sizeable	big || large	huge	colossal				
XXbig-little.rankings	demelo	FR	considérable	grand	énorme || immense	colossal				
XXbig-little.rankings	demelo	EL	σημαντικός	μεγάλος	τεράστιος	κολοσσιαίος				
XXbig-little.rankings	demelo	ES	considerable	grande	enorme	colosal				
XXsatisfactory-unsatisfactory.rankings	demelo	EN	acceptable || okay || alright	right						
XXsatisfactory-unsatisfactory.rankings	demelo	FR	acceptable 	correct 						
XXsatisfactory-unsatisfactory.rankings	demelo	EL	αποδεκτός	σωστός						
XXsatisfactory-unsatisfactory.rankings	demelo	ES	aceptable	correcto						
XXmany-few.rankings	demelo	EN	some	many	numerous	galore				
XXmany-few.rankings	demelo	FR	certains || quelques	beaucoup de	nombreux	en abondance				
XXmany-few.rankings	demelo	EL	μερικοί	πολλοί	πολυάριθμοι	άφθονοι				
XXmany-few.rankings	demelo	ES	algunos	muchos	numerosos	abundantes				
XXtasty-tasteless.rankings	demelo	EN	flavorful	zesty	hot || spicy					
XXtasty-tasteless.rankings	demelo	FR	goûteux || savoureux	piquant	épicé					
XXtasty-tasteless.rankings	demelo	EL	γευστικός	πικάντικος	καυτερός					
XXtasty-tasteless.rankings	demelo	ES	sabroso	fuerte	picante					
XXinvolved-uninvolved.rankings	demelo	EN	interested	concerned	involved					
XXinvolved-uninvolved.rankings	demelo	FR	intéressé	concerné 	impliqué					
XXinvolved-uninvolved.rankings	demelo	EL	ενδιαφερόμενος	προβληματισμένος	εμπλεκόμενος					
XXinvolved-uninvolved.rankings	demelo	ES	interesado	implicado	involucrado					
XXthick-thin.rankings	demelo	EN	thick	dense	impenetrable					
XXthick-thin.rankings	demelo	FR	épais	dense 	impénétrable					
XXthick-thin.rankings	demelo	EL	παχύς	πυκνός	αδιαπέραστος					
XXthick-thin.rankings	demelo	ES	grueso	espeso	impenetrable					
XXbloody-bloodless.rankings	demelo	EN	violent	homicidal || murderous						
XXbloody-bloodless.rankings	demelo	FR	violent	meurtrier						
XXbloody-bloodless.rankings	demelo	EL	βίαιος	δολοφονικός						
XXbloody-bloodless.rankings	demelo	ES	violento	homicida || asesino						
hopeful-hopelessXX.rankings	demelo	EN	bleak || desperate	hopeless						
hopeful-hopelessXX.rankings	demelo	FR	morne	désespéré						
hopeful-hopelessXX.rankings	demelo	EL	θλιμμένος || θλιβερός	απελπισμένος						
hopeful-hopelessXX.rankings	demelo	ES	desolador || desalentador	desesperado						
loose-tightXX.rankings	demelo	EN	close	tight	snug					
loose-tightXX.rankings	demelo	FR	proche	serré 	moulant					
loose-tightXX.rankings	demelo	EL	στενός	σφιχτός 	κολλητός					
loose-tightXX.rankings	demelo	ES	ajustado	apretado	ceñido					
XXcomprehensive-incomprehensive2.rankings	demelo	EN	general	extensive	complete || comprehensive	universal				
XXcomprehensive-incomprehensive2.rankings	demelo	FR	général	vaste	complet || exhaustif	universel				
XXcomprehensive-incomprehensive2.rankings	demelo	EL	γενικός	εκτενής || εκτεταμένος	πλήρης	καθολικός				
XXcomprehensive-incomprehensive2.rankings	demelo	ES	general	extenso || amplio	completo	universal				
current-noncurrentXX.rankings	demelo	EN	old	obsolete || outdated						
current-noncurrentXX.rankings	demelo	FR	vieux || ancien	obsolète || désuet						
current-noncurrentXX.rankings	demelo	EL	παλιός	απαρχαιωμένος || ξεπερασμένος						
current-noncurrentXX.rankings	demelo	ES	viejo	anticuado	obsoleto 					
XXserious-frivolous.rankings	demelo	EN	real	solemn	serious	grave				
XXserious-frivolous.rankings	demelo	FR	réel 	solennel	sérieux	grave				
XXserious-frivolous.rankings	demelo	EL	πραγματικός	επίσημος	σοβαρός	βαρύς				
XXserious-frivolous.rankings	demelo	ES	real	solemne	serio	grave				
XXcontent-discontent.rankings	demelo	EN	content || satisfied	pleased || happy						
XXcontent-discontent.rankings	demelo	FR	content || satisfait	heureux	ravi					
XXcontent-discontent.rankings	demelo	EL	ικανοποιημένος	χαρούμενος || ευτυχής	πανευτυχής					
XXcontent-discontent.rankings	demelo	ES	satisfecho	complacido	contento	feliz				
XXhappy-unhappy.rankings	demelo	EN	happy || content	euphoric						
XXhappy-unhappy.rankings	demelo	FR	heureux || content	euphorique						
XXhappy-unhappy.rankings	demelo	EL	ευτυχισμένος || ευτυχής	ευφορικός 						
XXhappy-unhappy.rankings	demelo	ES	contento	feliz	eufórico					
far-closeXX.rankings	demelo	EN	nearby || near	close	adjacent					
far-closeXX.rankings	demelo	FR	proche || à proximité	à côté	adjacent || contigu					
far-closeXX.rankings	demelo	EL	κοντινός || εγγύς	διπλανός	γειτονικός || παρακείμενος					
far-closeXX.rankings	demelo	ES	cercano	contiguo || adyacente						
XXseductive-unseductive.rankings	demelo	EN	attractive	sexy	seductive					
XXseductive-unseductive.rankings	demelo	FR	attirant	sexy	séduisant 					
XXseductive-unseductive.rankings	demelo	EL	γοητευτικός	σέξυ	θελκτικός || ελκυστικός					
XXseductive-unseductive.rankings	demelo	ES	atractivo	sexy	seductor					
careful-carelessXX.rankings	demelo	EN	negligent	careless	reckless					
careful-carelessXX.rankings	demelo	FR	négligent	imprudent	téméraire					
careful-carelessXX.rankings	demelo	EL	αμελής || απρόσεκτος	ανεύθυνος	απερίσκεπτος					
careful-carelessXX.rankings	demelo	ES	descuidado	negligente	temerario					
XXecht-counterfeit.rankings	demelo	EN	good	real	authentic					
XXecht-counterfeit.rankings	demelo	FR	bon	réel	authentique					
XXecht-counterfeit.rankings	demelo	EL	αληθινός	πραγματικός	αυθεντικός					
XXecht-counterfeit.rankings	demelo	ES	verdadero	real	auténtico					
XXnoxious-innocuous.rankings	demelo	EN	harmful	toxic	deadly					
XXnoxious-innocuous.rankings	demelo	FR	nocif || nuisible	toxique	mortel					
XXnoxious-innocuous.rankings	demelo	EL	επιβλαβής || βλαβερός	τοξικός	καταστροφικός || θανατηφόρος					
XXnoxious-innocuous.rankings	demelo	ES	perjudicial	tóxico	mortal || letal					
honest-dishonestXX.rankings	demelo	EN	misleading	deceptive || fraudulent	FALSE					
honest-dishonestXX.rankings	demelo	FR	trompeur	fallacieux	faux					
honest-dishonestXX.rankings	demelo	EL	παραπλανητικός	δόλιος || ανέντιμος	πλαστός || ψεύτικος					
honest-dishonestXX.rankings	demelo	ES	engañoso || equívoco	fraudulento	falso					
noticed-unnoticedXX.rankings	demelo	EN	neglected	ignored || overlooked	forgotten					
noticed-unnoticedXX.rankings	demelo	FR	négligé || délaissé	ignoré || omis	oublié					
noticed-unnoticedXX.rankings	demelo	EL	παραμελημένος	παρατημένος 	ξεχασμένος					
noticed-unnoticedXX.rankings	demelo	ES	descuidado	desatendido	ignorado	olvidado				
hot-cold2XX.rankings	demelo	EN	cool	cold	frigid	icy || frozen				
hot-cold2XX.rankings	demelo	FR	frais	froid	glacé	glacial || gelé				
hot-cold2XX.rankings	demelo	EL	δροσερός	κρύος 	παγωμένος	κατεψυγμένος				
hot-cold2XX.rankings	demelo	ES	fresco	frío	helado	congelado				
light-darkXX.rankings	demelo	EN	dim	gloomy	dark	black				
light-darkXX.rankings	demelo	FR	terne	sombre	foncé	noir				
light-darkXX.rankings	demelo	EL	αμυδρός || αχνός	μουντός	σκοτεινός	μαύρος				
light-darkXX.rankings	demelo	ES	sombrío	tenebroso	oscuro	negro				
XXhot-cold.rankings	demelo	EN	warm	hot	overheated	stifling || sultry				
XXhot-cold.rankings	demelo	FR	chaleureux	chaud	surchauffé	étouffant || suffocant				
XXhot-cold.rankings	demelo	EL	θερμός	ζεστός	υπερθερμασμένος	πνιγηρός || αποπνικτικός				
XXhot-cold.rankings	demelo	ES	tibio	caliente	sobrecalentado	abrasador || sofocante				
XXgeneral-specific.rankings	demelo	EN	broad || widespread	general	universal					
XXgeneral-specific.rankings	demelo	FR	large || étendu || répandu	général	universel 					
XXgeneral-specific.rankings	demelo	EL	ευρύς	γενικός	καθολικός					
XXgeneral-specific.rankings	demelo	ES	extendido	común	universal					
XXmature-green.rankings	demelo	EN	mature	ripe	overripe					
XXmature-green.rankings	demelo	FR	mûr	fait	blet					
XXmature-green.rankings	demelo	EL	ώριμος	γινωμένος	υπερώριμος || παραγινωμένος					
XXmature-green.rankings	demelo	ES	maduro	pasado						
cardinal-ordinalXX.rankings	demelo	EN	first	second	third	fourth	fifth	sixth	seventh	eighth
cardinal-ordinalXX.rankings	demelo	FR	premier	deuxième || second	troisième	quatrième	cinquième	sixième	septième	huitième
cardinal-ordinalXX.rankings	demelo	EL	πρώτος	δεύτερος	τρίτος	τέταρτος	πέμπτος	έκτος	έβδομος	όγδοος
cardinal-ordinalXX.rankings	demelo	ES	primero	segundo	tercero	cuarto	quinto	sexto	séptimo	octavo
proud-humbleXX.rankings	demelo	EN	humbled	humiliated	crushed					
proud-humbleXX.rankings	demelo	FR	abaissé	humilié	mortifié || écrasé					
proud-humbleXX.rankings	demelo	EL	ντροπιασμένος || ρεζιλεμένος	ταπεινωμένος	εξευτελισμένος					
proud-humbleXX.rankings	demelo	ES	ridiculizado	humillado	destrozado					
XXattractive-unattractive.rankings	demelo	EN	attractive	beautiful	mesmerizing || seductive					
XXattractive-unattractive.rankings	demelo	FR	attirant	beau	fascinant || captivant					
XXattractive-unattractive.rankings	demelo	EL	ελκυστικός || γοητευτικός	όμορφος	καθηλωτικός || σαγηνευτικός					
XXattractive-unattractive.rankings	demelo	ES	guapo	atractivo	seductor || cautivador					
XXknown-unknown.rankings	demelo	EN	known	famous	legendary					
XXknown-unknown.rankings	demelo	FR	connu	célèbre	légendaire					
XXknown-unknown.rankings	demelo	EL	γνωστός	διάσημος	μυθικός					
XXknown-unknown.rankings	demelo	ES	conocido	famoso	legendario					
XXintelligent-stupid.rankings	demelo	EN	bright || intelligent || smart || clever	brilliant						
XXintelligent-stupid.rankings	demelo	FR	intelligent || malin || futé || astucieux	brilliant 						
XXintelligent-stupid.rankings	demelo	EL	έξυπνος || ευφυής	πανέξυπνος || ευφυέστατος	σαΐνι					
XXintelligent-stupid.rankings	demelo	ES	listo || ingenioso	inteligente	brillante					
XXcomposed-discomposed.rankings	demelo	EN	calm || cool	serene						
XXcomposed-discomposed.rankings	demelo	FR	calme || tranquille	serein						
XXcomposed-discomposed.rankings	demelo	EL	ήρεμος || ψύχραιμος	γαλήνιος || ατάραχος						
XXcomposed-discomposed.rankings	demelo	ES	tranquilo || calmado	sereno						
possible-impossibleXX.rankings	demelo	EN	impractical || impracticable	unrealistic	infeasible	impossible				
possible-impossibleXX.rankings	demelo	FR	impraticable	irréaliste	infaisable	impossible				
possible-impossibleXX.rankings	demelo	EL	ανεφάρμοστος	ουτοπικός	ανέφικτος	αδύνατος				
possible-impossibleXX.rankings	demelo	ES	impracticable	irrealizable	inviable	imposible				
XXalarming-unalarming.rankings	demelo	EN	creepy	scary || frightening	terrifying	sinister				
XXalarming-unalarming.rankings	demelo	FR	louche	flippant || effrayant 	terrifiant	sinistre				
XXalarming-unalarming.rankings	demelo	EL	ανατριχιαστικός	τρομακτικός	φρικιαστικός	καταχθόνιος				
XXalarming-unalarming.rankings	demelo	ES	espantoso	espeluznante	aterrador	terrorífico				
XXsurprising-unsurprising.rankings	demelo	EN	unexpected	astonishing || stunning						
XXsurprising-unsurprising.rankings	demelo	FR	inattendu || imprévu	étonnant || stupéfiiant						
XXsurprising-unsurprising.rankings	demelo	EL	απρόσμενος || απροσδόκητος	εντυπωσιακός						
XXsurprising-unsurprising.rankings	demelo	ES	inesperado	sorprendente	asombroso || increíble					
attractive-unattractiveXX.rankings	demelo	EN	plain	unattractive	ugly					
attractive-unattractiveXX.rankings	demelo	FR	quelconque	laid	moche					
attractive-unattractiveXX.rankings	demelo	EL	απλός 	απωθητικός	άσχημος					
attractive-unattractiveXX.rankings	demelo	ES	del montón	mal parecido	feo					
favorable-unfavorableXX.rankings	demelo	EN	critical	negative	hostile					
favorable-unfavorableXX.rankings	demelo	FR	critique	négatif	hostile					
favorable-unfavorableXX.rankings	demelo	EL	επικριτικός	αρνητικός	εχθρικός					
favorable-unfavorableXX.rankings	demelo	ES	crítico	negativo	hostil					
XXpossible-impossible.rankings	demelo	EN	possible	realistic	feasible	practical				
XXpossible-impossible.rankings	demelo	FR	possible	réaliste	faisable	pratique				
XXpossible-impossible.rankings	demelo	EL	δυνατός	ρεαλιστικός	εφικτός	πρακτικός				
XXpossible-impossible.rankings	demelo	ES	posible	realista	factible	práctico				
open-closedXX.rankings	demelo	EN	closed	shut	sealed					
open-closedXX.rankings	demelo	FR	fermé	clos 	scellé || étanche					
open-closedXX.rankings	demelo	EL	κλειστός	σφαλισμένος	σφραγισμένος					
open-closedXX.rankings	demelo	ES	cerrado	sellado	hermético					
common-uncommonXX.rankings	demelo	EN	uncommon	unusual	rare	extraordinary	exceptional			
common-uncommonXX.rankings	demelo	FR	peu commun	inhabituel	rare	extraordinaire	exceptionnel			
common-uncommonXX.rankings	demelo	EL	ασυνήθιστος	σπάνιος	εντυπωσιακός	εξαιρετικός				
common-uncommonXX.rankings	demelo	ES	poco común	inusual	raro	extraordinario	excepcional			
many-fewXX.rankings	demelo	EN	some	few	fewer					
many-fewXX.rankings	demelo	FR	quelques	peu de	moins de					
many-fewXX.rankings	demelo	EL	μερικοί	λίγοι	λιγότεροι					
many-fewXX.rankings	demelo	ES	algunos	pocos	menos					
superior-inferiorXX.rankings	demelo	EN	cheap || mediocre	bad	worst					
superior-inferiorXX.rankings	demelo	FR	médiocre	mauvais	pire					
superior-inferiorXX.rankings	demelo	EL	φτηνός || μέτριος	κακός	χειρότερος					
superior-inferiorXX.rankings	demelo	ES	barato	mediocre	malo	malísimo				
XXfriendly-unfriendly.rankings	demelo	EN	friendly || cordial	warm	intimate					
XXfriendly-unfriendly.rankings	demelo	FR	amical || cordial	chaleureux	intime 					
XXfriendly-unfriendly.rankings	demelo	EL	φιλικός 	ζεστός	οικείος					
XXfriendly-unfriendly.rankings	demelo	ES	cordial	amigable	cariñoso	íntimo				
fat-leanXX.rankings	demelo	EN	lean	slim	thin	skinny	gaunt	emaciated	skeletal	
fat-leanXX.rankings	demelo	FR	fin	svelte	mince	maigre	maigrichon	émacié || décharné	squelettique	
fat-leanXX.rankings	demelo	EL	άπαχος	αδύνατος	λεπτός	ισχνός	λιπόσαρκος	κοκαλιάρης	σκελετωμένος || αποστεωμένος	
fat-leanXX.rankings	demelo	ES	esbelto	delgado	flaco	esmirriado	raquítico	esquelético		
difficult-easyXX.rankings	demelo	EN	easy || simple || smooth	painless	effortless					
difficult-easyXX.rankings	demelo	FR	facile || simple || commode	aisé						
difficult-easyXX.rankings	demelo	EL	εύκολος || απλός || ομαλός	ανώδυνος	πανεύκολος					
difficult-easyXX.rankings	demelo	ES	fácil	simple || sencillo						
successful-unsuccessfulXX.rankings	demelo	EN	disappointed	frustrated	defeated					
successful-unsuccessfulXX.rankings	demelo	FR	déçu	frustré	vaincu || battu					
successful-unsuccessfulXX.rankings	demelo	EL	απογοητευμένος	αγανακτισμένος	αποτυχημένος || ηττημένος					
successful-unsuccessfulXX.rankings	demelo	ES	decepcionado	frustrado	derrotado					
single-multipleXX.rankings	demelo	EN	dual || double || doubled	triple || treble	quadruple					
single-multipleXX.rankings	demelo	FR	double	triple	quadruple					
single-multipleXX.rankings	demelo	EL	διπλός	τριπλός	τετραπλός					
single-multipleXX.rankings	demelo	ES	doble	triple	cuádruple					
audible-inaudibleXX.rankings	demelo	EN	quiet	inaudible || imperceptible	silent					
audible-inaudibleXX.rankings	demelo	FR	calme	inaudible || imperceptible	silencieux					
audible-inaudibleXX.rankings	demelo	EL	ήσυχος	αθόρυβος || ανεπαίσθητος	σιωπηλός || βουβός					
audible-inaudibleXX.rankings	demelo	ES	inaudible || imperceptible	silencioso						
XXquiet-noisy.rankings	demelo	EN	soft	quiet	inaudible	silent				
XXquiet-noisy.rankings	demelo	FR	doux	calme	inaudible	silencieux				
XXquiet-noisy.rankings	demelo	EL	απαλός	ήσυχος 	αθόρυβος	σιωπηλός				
XXquiet-noisy.rankings	demelo	ES	bajo	inaudible	silencioso					
realistic-unrealisticXX.rankings	demelo	EN	impractical	unrealistic	impossible					
realistic-unrealisticXX.rankings	demelo	FR	impraticable	irréalisable	impossible					
realistic-unrealisticXX.rankings	demelo	EL	ανεφάρμοστος	ουτοπικός	αδύνατος					
realistic-unrealisticXX.rankings	demelo	ES	impracticable	irrealizable	imposible					
distant-closeXX.rankings	demelo	EN	close	near	intimate					
distant-closeXX.rankings	demelo	FR	proche || à proximité	à côté	intime					
distant-closeXX.rankings	demelo	EL	κοντινός	στενός	οικείος					
distant-closeXX.rankings	demelo	ES	cercano	estrecho	íntimo					
hot-coldXX.rankings	demelo	EN	cool || refrigerated || chilly	cold	frigid	icy || frozen				
hot-coldXX.rankings	demelo	FR	frais	froid	glacé	glacial || gelé				
hot-coldXX.rankings	demelo	EL	δροσερός	κρύος	παγωμένος	παγερός || κατεψυγμένος				
hot-coldXX.rankings	demelo	ES	fresco || enfriado	frío	helado	congelado				
loud-softXX.rankings	demelo	EN	low	subdued	quiet					
loud-softXX.rankings	demelo	FR	bas	adouci 	silencieux					
loud-softXX.rankings	demelo	EL	χαμηλός	ήσυχος || σιωπηλός	αθόρυβος					
loud-softXX.rankings	demelo	ES	bajo	tenue || suave	silencioso					
mild-intenseXX.rankings	demelo	EN	strong	intense	terrible	overwhelming	violent			
mild-intenseXX.rankings	demelo	FR	fort	intense	terrible	accablant || écrasant	violent			
mild-intenseXX.rankings	demelo	EL	δυνατός	έντονος	τρομερός	συντριπτικός || σαρωτικός	βίαιος			
mild-intenseXX.rankings	demelo	ES	fuerte	intenso	terrible	abrumador	violento			
XXinteresting-uninteresting.rankings	demelo	EN	interesting	intriguing	amusing || entertaining	fascinating || exciting				
XXinteresting-uninteresting.rankings	demelo	FR	intéressant	intriguant	amusant || divertissant	fascinant || passionnant || excitant				
XXinteresting-uninteresting.rankings	demelo	EL	ενδιαφέρων	ελκυστικός	διασκεδαστικός || ψυχαγωγικός	συναρπαστικός				
XXinteresting-uninteresting.rankings	demelo	ES	interesante	intrigante	entretenido || ameno	fascinante || emocionante				
smooth-roughXX.rankings	demelo	EN	cracked	broken	crushed					
smooth-roughXX.rankings	demelo	FR	fendu || fissuré || craquelé	cassé	écrasé					
smooth-roughXX.rankings	demelo	EL	ραγισμένος	σπασμένος	θρυμματισμένος || κομματιασμένος					
smooth-roughXX.rankings	demelo	ES	agrietado	roto	machacado					
XXbeautiful-ugly.rankings	demelo	EN	handsome || lovely || gorgeous	beautiful || pretty || attractive						
XXbeautiful-ugly.rankings	demelo	FR	beau	attirant	superbe || splendide					
XXbeautiful-ugly.rankings	demelo	EL	χαριτωμένος	όμορφος || ωραίος	ελκυστικός	πανέμορφος				
XXbeautiful-ugly.rankings	demelo	ES	bonito	guapo	atractivo	hermoso || precioso				
XXfull-empty.rankings	demelo	EN	full	stuffed	overloaded	overflowing				
XXfull-empty.rankings	demelo	FR	plein	rempli || rembourré	surchargé	débordant				
XXfull-empty.rankings	demelo	EL	γεμάτος	παραγεμισμένος	παραφορτωμένος	ξέχειλος				
XXfull-empty.rankings	demelo	ES	lleno	relleno	sobrecargado	saturado				
sane-insaneXX.rankings	demelo	EN	unstable	crazy	insane					
sane-insaneXX.rankings	demelo	FR	instable	fou	dément					
sane-insaneXX.rankings	demelo	EL	ασταθής	τρελός	παράφρων					
sane-insaneXX.rankings	demelo	ES	inestable	loco	demente					
dispensable-indispensableXX.rankings	demelo	EN	necessary	vital	indispensable	critical				
dispensable-indispensableXX.rankings	demelo	FR	nécessaire	vital	indispensable	crucial || primordial				
dispensable-indispensableXX.rankings	demelo	EL	αναγκαίος	ζωτικός	απαραίτητος	κρίσιμος				
dispensable-indispensableXX.rankings	demelo	ES	necesario	vital	indispensable	crítico				
big-littleXX.rankings	demelo	EN	small	smaller	midget	minute	tiny || minuscule	micro || microscopic		
big-littleXX.rankings	demelo	FR	petit	moindre	nain	menu	minuscule || tout petit	microscopique		
big-littleXX.rankings	demelo	EL	μικρός	μικρότερος	νάνος	παραμικρός	μικρούτσικος || μικρούλης	μικροσκοπικός		
big-littleXX.rankings	demelo	ES	pequeño || chico	pequeñísimo	enano	diminuto	minúsculo	microscópico		
XXcomprehensive-incomprehensive.rankings	demelo	EN	statewide	nationwide	worldwide					
XXcomprehensive-incomprehensive.rankings	demelo	FR	régional	national	mondial || universel					
XXcomprehensive-incomprehensive.rankings	demelo	EL	κρατικός	πανεθνικός	παγκόσμιος					
XXcomprehensive-incomprehensive.rankings	demelo	ES	estatal	nacional	mundial					
national-internationalXX.rankings	demelo	EN	transnational	international	global					
national-internationalXX.rankings	demelo	FR	multinational	international	global || mondial || universel					
national-internationalXX.rankings	demelo	EL	διεθνικός	διεθνής	παγκόσμιος					
national-internationalXX.rankings	demelo	ES	internacional	multinacional	global					
comfortable-uncomfortableXX.rankings	demelo	EN	uncomfortable	uneasy	painful					
comfortable-uncomfortableXX.rankings	demelo	FR	inconfortable	gêné || embarrassé	pénible					
comfortable-uncomfortableXX.rankings	demelo	EL	άβολος	αμήχανος	επώδυνος					
comfortable-uncomfortableXX.rankings	demelo	ES	incómodo	molesto	doloroso					
good-badXX.rankings	demelo	EN	hard	painful	hopeless					
